# m0 | m12  | ng          | ns          | nn          | ll          | sb       | ss       | tb          | bb          | gg       | sg
1020 | 760 | 1.09624 | 1.42187 | 1.09057 | 1.07702 | 2.76087 | 1.12357 | 3.24431 | 4.55106 | 11.3915 | 3.52344
1020 | 780 | 1.10793 | 1.44331 | 1.08665 | 1.07969 | 2.85571 | 1.11852 | 3.33595 | 4.73277 | 12.2305 | 3.6182
1020 | 800 | 1.11831 | 1.45922 | 1.08248 | 1.08218 | 2.96245 | 1.11254 | 3.4473 | 4.92333 | 13.0409 | 3.74603
1020 | 820 | 1.13014 | 1.47659 | 1.07847 | 1.08284 | 3.06202 | 1.1097 | 3.53563 | 5.13033 | 13.9815 | 3.84966
1020 | 840 | 1.14124 | 1.49302 | 1.07537 | 1.08492 | 3.17073 | 1.10497 | 3.62814 | 5.35085 | 15.0442 | 3.98026
1020 | 860 | 1.14988 | 1.51326 | 1.07112 | 1.08995 | 3.28517 | 1.10219 | 3.75164 | 5.56894 | 16.1557 | 4.12857
1020 | 880 | 1.16645 | 1.52992 | 1.06528 | 1.09079 | 3.41398 | 1.09709 | 3.86894 | 5.83229 | 17.3485 | 4.28472
1020 | 900 | 1.1726 | 1.54968 | 1.06277 | 1.09228 | 3.5303 | 1.09677 | 3.96258 | 6.08238 | 18.6503 | 4.42756
1020 | 920 | 1.18028 | 1.56775 | 1.05957 | 1.09506 | 3.68251 | 1.09672 | 4.07706 | 6.37376 | 19.505 | 4.58333
1020 | 940 | 1.19262 | 1.58963 | 1.05661 | 1.0988 | 3.8 | 1.09513 | 4.19288 | 6.69649 | 21.1382 | 4.75771
1020 | 960 | 1.20822 | 1.60405 | 1.0533 | 1.10319 | 3.9207 | 1.09404 | 4.32656 | 7.02244 | 22.7614 | 4.95082
1020 | 980 | 1.22116 | 1.62675 | 1.05314 | 1.10765 | 4.01899 | 1.09362 | 4.47063 | 7.37892 | 24.5333 | 5.14706
1040 | 1000 | 1.23887 | 1.65453 | 1.05061 | 1.11453 | 4.15152 | 1.09554 | 4.64133 | 7.85635 | 26.5152 | 5.375
1040 | 100 | 1.18724 | 1.10444 | 1.33769 | 1.0594 | 1.62857 | 1.33971 | 1.78908 | 1.96086 | 1.88323 | 1.80769
1040 | 120 | 1.15831 | 1.10659 | 1.32284 | 1.05913 | 1.62609 | 1.33 | 1.7956 | 1.98208 | 1.98333 | 1.82734
1040 | 140 | 1.12864 | 1.10939 | 1.3076 | 1.06012 | 1.62264 | 1.31915 | 1.80507 | 2.00843 | 2.07039 | 1.83686
1040 | 160 | 1.11121 | 1.11387 | 1.29789 | 1.05875 | 1.61979 | 1.31034 | 1.81873 | 2.03195 | 2.17536 | 1.85494
1040 | 180 | 1.09517 | 1.12097 | 1.28413 | 1.05886 | 1.61988 | 1.31013 | 1.8345 | 2.05755 | 2.28106 | 1.87556
1040 | 200 | 1.08206 | 1.12417 | 1.27334 | 1.05914 | 1.62667 | 1.30282 | 1.79431 | 2.09312 | 2.39085 | 1.89809
1040 | 220 | 1.06972 | 1.13139 | 1.26526 | 1.05939 | 1.63566 | 1.29365 | 1.87103 | 2.12652 | 2.50612 | 1.92727
1040 | 240 | 1.05969 | 1.13445 | 1.25659 | 1.05824 | 1.63636 | 1.27928 | 1.92747 | 2.15835 | 2.62016 | 1.93838
1040 | 260 | 1.05261 | 1.13994 | 1.24995 | 1.05943 | 1.65764 | 1.27726 | 1.97959 | 2.19615 | 2.74678 | 1.97464
1040 | 280 | 1.04381 | 1.14845 | 1.23897 | 1.05892 | 1.67102 | 1.26659 | 2.01902 | 2.23325 | 2.8866 | 1.99745
1040 | 300 | 1.03974 | 1.15525 | 1.23183 | 1.05939 | 1.68254 | 1.26271 | 2.05735 | 2.27915 | 3.03182 | 2.02143
1040 | 320 | 1.0364 | 1.16356 | 1.22318 | 1.05896 | 1.69922 | 1.255 | 2.09142 | 2.32567 | 3.1811 | 2.055
