# m0 | m12 | xsec in pb!
1200 | 180  | 4.2230
1200 | 200  | 2.5440
1200 | 220  | 1.6000
1200 | 240  | 1.0610
1200 | 260  | 0.7258
1200 | 280  | 0.5098
1200 | 300  | 0.3631
1200 | 320  | 0.2643
1200 | 340  | 0.1972
1200 | 360  | 0.1470
1200 | 380  | 0.1115
1200 | 400  | 0.0856
1200 | 420  | 0.0663
1200 | 440  | 0.0520
1200 | 460  | 0.0407
1200 | 480  | 0.0324
1200 | 500  | 0.0256
1200 | 520  | 0.0206
1200 | 540  | 0.0165
1200 | 560  | 0.0133
1200 | 580  | 0.0109
1200 | 600  | 0.0088
1200 | 620  | 0.0072
1200 | 640  | 0.0059
1200 | 660  | 0.0049
1200 | 680  | 0.0040
1200 | 700  | 0.0033
1200 | 720  | 0.0028
1200 | 740  | 0.0023
1200 | 760  | 0.0019
1200 | 780  | 0.0016
1200 | 800  | 0.0014
1200 | 820  | 0.0011
1200 | 840  | 0.0009
1200 | 860  | 0.0008
1200 | 880  | 0.0007
1200 | 900  | 0.0006
1200 | 920  | 0.0005
1200 | 940  | 0.0004
1200 | 960  | 0.0003
1200 | 980  | 0.0003
120  | 100  | 1645.0000
120  | 120  | 170.9000
120  | 140  | 78.0300
120  | 160  | 40.6500
120  | 180  | 22.4500
120  | 200  | 13.1400
120  | 220  | 8.0170
120  | 240  | 5.0640
120  | 260  | 3.2680
120  | 280  | 2.1560
120  | 300  | 1.4600
120  | 320  | 1.0110
120  | 340  | 0.7048
120  | 360  | 0.5021
120  | 380  | 0.3618
120  | 400  | 0.2651
120  | 420  | 0.1956
120  | 440  | 0.1464
120  | 460  | 0.1100
120  | 480  | 0.0848
120  | 500  | 0.0649
120  | 520  | 0.0505
120  | 540  | 0.0392
120  | 560  | 0.0309
120  | 580  | 0.0244
120  | 600  | 0.0195
120  | 620  | 0.0157
1220 | 1000 | 0.0002
1220 | 100  | 85.2100
1220 | 120  | 31.3400
1220 | 140  | 14.3300
1220 | 160  | 7.4270
1220 | 180  | 4.1790
1220 | 200  | 2.5390
1220 | 220  | 1.6200
1220 | 240  | 1.0650
1220 | 260  | 0.7246
1220 | 280  | 0.5060
1220 | 300  | 0.3642
1220 | 320  | 0.2640
1220 | 340  | 0.1958
1220 | 360  | 0.1463
1220 | 380  | 0.1119
1220 | 400  | 0.0854
1220 | 420  | 0.0664
1220 | 440  | 0.0515
1220 | 460  | 0.0407
1220 | 480  | 0.0323
1220 | 500  | 0.0258
1220 | 520  | 0.0206
1220 | 540  | 0.0165
1220 | 560  | 0.0132
1220 | 580  | 0.0108
1220 | 600  | 0.0088
1220 | 620  | 0.0072
1220 | 640  | 0.0059
1220 | 660  | 0.0049
1220 | 680  | 0.0040
1220 | 700  | 0.0033
1220 | 720  | 0.0028
1220 | 740  | 0.0023
1220 | 760  | 0.0019
1220 | 780  | 0.0016
1220 | 800  | 0.0013
1220 | 820  | 0.0011
1220 | 840  | 0.0009
1220 | 860  | 0.0008
1220 | 880  | 0.0007
1220 | 900  | 0.0006
1220 | 920  | 0.0005
1220 | 940  | 0.0004
1220 | 960  | 0.0003
1220 | 980  | 0.0003
1240 | 1000 | 0.0002
1240 | 100  | 85.1800
1240 | 120  | 31.3600
1240 | 140  | 14.3000
1240 | 160  | 7.4180
1240 | 180  | 4.2040
1240 | 200  | 2.5240
1240 | 220  | 1.6020
1240 | 240  | 1.0550
1240 | 260  | 0.7233
1240 | 280  | 0.5058
1240 | 300  | 0.3632
1240 | 320  | 0.2636
1240 | 340  | 0.1957
1240 | 360  | 0.1468
1240 | 380  | 0.1110
1240 | 400  | 0.0849
1240 | 420  | 0.0661
1240 | 440  | 0.0515
1240 | 460  | 0.0406
1240 | 480  | 0.0322
1240 | 500  | 0.0256
1240 | 520  | 0.0206
1240 | 540  | 0.0167
1240 | 560  | 0.0134
1240 | 580  | 0.0108
1240 | 600  | 0.0088
1240 | 620  | 0.0073
1240 | 640  | 0.0059
1240 | 660  | 0.0049
1240 | 680  | 0.0040
1240 | 700  | 0.0033
1240 | 720  | 0.0028
1240 | 740  | 0.0023
1240 | 760  | 0.0019
1240 | 780  | 0.0016
1240 | 800  | 0.0013
1240 | 820  | 0.0011
